entrypoint,cliTime,logikaTime,processBegin,processCheck,vcsNum,vcsTime,satNum,satTime,timeStamp,kekikianBuild,timeout,rlimit,par,par-branch,par-branch-mode,System Version,Computer Name,Model Identifier,Processor,Memory
initialise,3197,3153,958,339,1,43,0,0,1685657438602,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,15641,15640,13626,13134,9,2201,29,11744,1685657441825,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2737,2736,495,49,1,26,0,0,1685657457486,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14727,14726,12733,12438,9,2099,29,11697,1685657460244,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2497,2496,328,38,1,24,0,0,1685657474991,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14626,14625,12653,12377,9,2079,29,11681,1685657477510,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2576,2575,275,38,1,26,0,0,1685657492152,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14551,14550,12582,12351,9,2085,29,11700,1685657494748,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2470,2469,250,42,1,28,0,0,1685657509319,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14536,14535,12541,12341,9,2085,29,11651,1685657511802,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2431,2430,254,49,1,37,0,0,1685657526349,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14555,14554,12553,12341,9,2071,29,11729,1685657528798,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2464,2463,262,37,1,26,0,0,1685657543364,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14562,14561,12537,12332,9,2073,29,11685,1685657545839,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2468,2467,234,48,1,38,0,0,1685657560419,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14495,14494,12513,12325,9,2075,29,11679,1685657562898,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2417,2417,213,32,1,23,0,0,1685657577404,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14474,14473,12484,12296,9,2063,29,11678,1685657579832,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2511,2510,231,43,1,30,0,0,1685657594317,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14530,14528,12496,12322,9,2076,29,11663,1685657596839,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2453,2452,219,44,1,32,0,0,1685657611380,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14476,14474,12484,12308,9,2066,29,11692,1685657613851,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2429,2428,214,32,1,23,0,0,1685657628338,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14502,14501,12518,12351,9,2088,29,11677,1685657630778,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2454,2452,231,32,1,23,0,0,1685657645297,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14467,14466,12475,12305,9,2062,29,11665,1685657647762,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2390,2390,191,32,1,23,0,0,1685657662240,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14436,14436,12497,12300,9,2063,29,11661,1685657664641,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2415,2415,199,32,1,23,0,0,1685657679088,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
timeTriggered,14485,14484,12529,12351,9,2093,29,11660,1685657681514,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
initialise,2481,2480,254,46,1,34,0,0,1685657696010,4.20230531.6847dae*,2,2000000,true,true,all,macOS 13.1 (22C65),e2206hm02,Macmini9_1,Apple M1 8 (4 performance and 4 efficiency),16 GB
